n
"(:Member {library_card_string: 010, address: 789 Chowringhee Road, Kolkata - 700020, join_date: 10-11-2020, membership_id: m_11113, name: Rajdeep Mishra, phone_number: 8902675430, email: rajdeep@gmail.com})"
"(:Member {library_card_string: 011, address: 101 Esplanade Row, Kolkata - 700069, join_date: 23-02-2021, membership_id: m_11114, name: Dwiji Patel, phone_number: 8902654730, email: dwiji@gmail.com})"
"(:Member {library_card_string: 100, address: 202 Theatre Road, Kolkata - 700017, join_date: 07-06-2021, membership_id: m_11115, name: Raghav Sharma, phone_number: 9748465320, email: raghav@gmail.com})"
"(:Member {library_card_string: 101, address: 1616 Behala Chowrasta, Kolkata - 700034, join_date: 20-09-2021, membership_id: m_11116, name: Shawn Koshy, phone_number: 9278654320, email: shawn@gmail.com})"
"(:Member {library_card_string: 110, address: 303 College Street, Kolkata - 700012, join_date: 03-01-2022, membership_id: m_11117, name: Bismit Sahoo, phone_number: 9767457690, email: bismit@gmail.com})"
"(:Member {library_card_string: 111, address: 404 Camac Street, Kolkata - 700016, join_date: 20-09-2021, membership_id: m_11118, name: Namish Bansal, phone_number: 8907413420, email: namish@gmail.com})"
"(:Member {library_card_string: 000, address: 505 Strand Road, Kolkata - 700007, join_date: 01-08-2022, membership_id: m_11119, name: Raghav Sharma, phone_number: 8974723430, email: raghav1@gmail.com})"
"(:Member {library_card_string: 001, address: 606 Rabindra Sarani, Kolkata - 700073, join_date: 14-11-2022, membership_id: m_11120, name: Nitanshu Bhatuda, phone_number: 9876243540, email: nitanshu@gmail.com})"
"(:Member {library_card_string: 010, address: 707 Diamond Harbour Road, Kolkata - 700023, join_date: 01-03-2023, membership_id: m_11121, name: Raghav Jha, phone_number: 7473229110, email: raghav2@gmail.com})"
"(:Member {library_card_string: 011, address: 808 Howrah Bridge, Kolkata - 700001, join_date: 15-06-2023, membership_id: m_11122, name: Muhammad Kaid, phone_number: 8954532410, email: muhammad@gmail.com})"
"(:Member {library_card_string: 100, address: 909 Gariahat Road, Kolkata - 700019, join_date: 28-09-2023, membership_id: m_11123, name: Ishaan Gupta, phone_number: 9054632860, email: ishaan1@gmail.com})"
"(:Member {library_card_string: 101, address: 1010 Salt Lake City, Kolkata - 700091, join_date: 12-12-2023, membership_id: m_11124, name: Ishaan Gupta, phone_number: 9748422240, email: ishaan@gmail.com})"
"(:Member {library_card_string: 110, address: 1111 Jessore Road, Kolkata - 700074, join_date: 08-02-2020, membership_id: m_11125, name: Rishit Agarwal, phone_number: 9051382340, email: rishit@gmail.com})"
"(:Member {library_card_string: 111, address: 1212 Park Circus, Kolkata - 700017, join_date: 22-06-2020, membership_id: m_11126, name: Ananya Sha Patel, phone_number: 8964162550, email: ananya1@gmail.com})"
"(:Member {library_card_string: 000, address: 1313 Dum Dum Road, Kolkata - 700074, join_date: 05-10-2020, membership_id: m_11127, name: Anshul Goyal, phone_number: 9051666650, email: anshul@gmail.com})"
"(:Member {library_card_string: 001, address: 1414 Ballygunge Circular Road, Kolkata - 700019, join_date: 18-01-2021, membership_id: m_11128, name: Ananya Sha Patel, phone_number: 9051645550, email: ananya@gmail.com})"
"(:Member {library_card_string: 010, address: 1515 Kasba Rathtala, Kolkata - 700107, join_date: 03-05-2021, membership_id: m_11129, name: Sagnik Das, phone_number: 7473345320, email: sagnik@gmail.com})"
"(:Member {library_card_string: 000, address: 123 Park Street, Kolkata - 700016, join_date: 15-03-2020, membership_id: m_11111, name: Ved Lohati, phone_number: 9038769120, email: ved@gmail.com})"
"(:Member {library_card_string: 001, address: 456 Lake Avenue, Kolkata - 700026, join_date: 28-07-2020, membership_id: m_11112, name: Rhythm Kedia, phone_number: 9748424320, email: rhythm@gmail.com})"
